date,AAR,BT,Bus,CBD Entries,CRZ Entries,LIRR,MNR,SIR,Subway
2021-04-18,10865,755021,607333,,,38263,30983,,1082503
2021-04-19,21274,818994,1147977,,,87167,45925,3634,1911326
2021-04-20,23528,863148,1223642,,,90034,49100,4135,2082495
2021-04-21,22379,830908,1139762,,,83533,45253,3788,1965922
2021-04-22,21832,874377,1166357,,,86606,46790,3837,2040232
2021-04-23,22035,923361,1184193,,,92834,56155,3737,2121350
2021-04-24,13351,856875,809163,,,51570,43227,,1520057
2021-04-25,9777,697476,540989,,,34054,23855,,985027
2021-04-26,21083,829098,1156913,,,89303,46752,3761,1955370
2021-04-27,22603,842367,1198299,,,89028,47310,4020,2041698
2021-04-28,24412,891506,1227777,,,92150,50011,4027,2135793
2021-04-29,22201,875558,1166096,,,88705,47785,3881,2028524
2021-04-30,22322,925495,1185321,,,93530,57364,3699,2159476
2021-05-01,13263,851688,818655,,,51067,41395,,1515211
2021-05-02,11541,811745,620063,,,41827,32683,,1153471
2021-05-03,21492,830922,1165505,,,91084,45800,3744,1971010
2021-05-04,22962,853754,1227250,,,93107,49415,4181,2120071
2021-05-05,23236,844607,1158445,,,91994,48351,3851,2074543
2021-05-06,23792,908361,1258536,,,94244,52748,4168,2199943
2021-05-07,22730,939468,1222741,,,101637,61477,3827,2238033
2021-05-08,13339,856180,779188,,,56309,42664,,1444674
2021-05-09,13897,856813,576000,,,54074,37795,856,1107878
2021-05-10,20751,847057,1149109,,,96813,50090,3850,1990039
2021-05-11,22751,875781,1231886,,,97358,51588,4227,2148322
2021-05-12,23946,890320,1238990,,,98930,53548,4193,2182277
2021-05-13,23439,921006,1182347,,,103047,55558,4112,2163052
2021-05-14,22437,950053,1220112,,,104885,63394,3963,2266974
2021-05-15,13516,893665,844096,,,63079,49401,11,1637231
2021-05-16,11062,815930,621750,,,49166,36227,14,1201904
2021-05-17,20779,812362,1157960,,,98458,52803,3990,2022584
2021-05-18,22367,840817,1215676,,,100430,54920,4321,2150049
2021-05-19,23784,918384,1253578,,,104762,56851,4367,2257549
2021-05-20,23659,934700,1243965,,,106604,57425,4441,2269471
2021-05-21,22520,968479,1221591,,,110077,67283,4264,2331876
2021-05-22,13397,913273,839877,,,66293,51249,1787,1645268
2021-05-23,11765,887792,645466,,,58005,40613,1358,1268928
